"","od","num_airlines","average_delay","origin","dest","airport_origin","city_origin","state_origin","country_origin","latitude_origin","longitude_origin","airport_destination","city_destination","state_destination","country_destination","latitude_destination","longitude_destination"
"1","IAHMCO",3,0.286728309659964,"IAH","MCO","George Bush Intercontinental Airport","Houston","TX","USA",29.98047,-95.33972,"Orlando International Airport","Orlando","FL","USA",28.42889,-81.31603
"2","DENORD",4,0.258291452701529,"DEN","ORD","Denver International Airport","Denver","CO","USA",39.85841,-104.667,"Chicago O'Hare International Airport","Chicago","IL","USA",41.9796,-87.90446
"3","IAHORD",3,0.249741735105437,"IAH","ORD","George Bush Intercontinental Airport","Houston","TX","USA",29.98047,-95.33972,"Chicago O'Hare International Airport","Chicago","IL","USA",41.9796,-87.90446
"4","MCOORD",4,0.238409244789026,"MCO","ORD","Orlando International Airport","Orlando","FL","USA",28.42889,-81.31603,"Chicago O'Hare International Airport","Chicago","IL","USA",41.9796,-87.90446
"5","ORDSLC",4,0.233577437417421,"ORD","SLC","Chicago O'Hare International Airport","Chicago","IL","USA",41.9796,-87.90446,"Salt Lake City International Airport","Salt Lake City","UT","USA",40.78839,-111.97777
"6","LGAPBI",3,0.229909522147573,"LGA","PBI","LaGuardia Airport (Marine Air Terminal)","New York","NY","USA",40.77724,-73.87261,"Palm Beach International Airport","West Palm Beach","FL","USA",26.68316,-80.09559
"7","MSYORD",3,0.227751950026325,"MSY","ORD","Louis Armstrong New Orleans International Airport","New Orleans","LA","USA",29.99339,-90.25803,"Chicago O'Hare International Airport","Chicago","IL","USA",41.9796,-87.90446
"8","MSPORD",4,0.227742843630102,"MSP","ORD","Minneapolis-Saint Paul International Airport","Minneapolis","MN","USA",44.88055,-93.21692,"Chicago O'Hare International Airport","Chicago","IL","USA",41.9796,-87.90446
"9","DENIAH",3,0.226864385177796,"DEN","IAH","Denver International Airport","Denver","CO","USA",39.85841,-104.667,"George Bush Intercontinental Airport","Houston","TX","USA",29.98047,-95.33972
"10","JFKORD",3,0.225620083919679,"JFK","ORD","John F. Kennedy International Airport (New York International Airport)","New York","NY","USA",40.63975,-73.77893,"Chicago O'Hare International Airport","Chicago","IL","USA",41.9796,-87.90446
"11","ORDPHL",4,0.225089098689929,"ORD","PHL","Chicago O'Hare International Airport","Chicago","IL","USA",41.9796,-87.90446,"Philadelphia International Airport","Philadelphia","PA","USA",39.87195,-75.24114
"12","DTWIAH",3,0.224225796489266,"DTW","IAH","Detroit Metropolitan Airport","Detroit","MI","USA",42.21206,-83.34884,"George Bush Intercontinental Airport","Houston","TX","USA",29.98047,-95.33972
"13","LGAMIA",3,0.222245222592991,"LGA","MIA","LaGuardia Airport (Marine Air Terminal)","New York","NY","USA",40.77724,-73.87261,"Miami International Airport","Miami","FL","USA",25.79325,-80.29056
"14","BOSPBI",3,0.221884322917282,"BOS","PBI","Gen. Edward Lawrence Logan International Airport","Boston","MA","USA",42.36435,-71.00518,"Palm Beach International Airport","West Palm Beach","FL","USA",26.68316,-80.09559
"15","LAXSFO",5,0.216919172491418,"LAX","SFO","Los Angeles International Airport","Los Angeles","CA","USA",33.94254,-118.40807,"San Francisco International Airport","San Francisco","CA","USA",37.619,-122.37484
"16","FLLLGA",3,0.216914931937026,"FLL","LGA","Fort Lauderdale-Hollywood International Airport","Ft. Lauderdale","FL","USA",26.07258,-80.15275,"LaGuardia Airport (Marine Air Terminal)","New York","NY","USA",40.77724,-73.87261
"17","CLEDFW",3,0.216668702229844,"CLE","DFW","Cleveland Hopkins International Airport","Cleveland","OH","USA",41.41089,-81.8494,"Dallas/Fort Worth International Airport","Dallas-Fort Worth","TX","USA",32.89595,-97.0372
"18","IAHMSP",3,0.216620746976718,"IAH","MSP","George Bush Intercontinental Airport","Houston","TX","USA",29.98047,-95.33972,"Minneapolis-Saint Paul International Airport","Minneapolis","MN","USA",44.88055,-93.21692
"19","ORDPHX",4,0.214660121718147,"ORD","PHX","Chicago O'Hare International Airport","Chicago","IL","USA",41.9796,-87.90446,"Phoenix Sky Harbor International Airport","Phoenix","AZ","USA",33.43417,-112.00806
"20","LGAORD",3,0.212972225388261,"LGA","ORD","LaGuardia Airport (Marine Air Terminal)","New York","NY","USA",40.77724,-73.87261,"Chicago O'Hare International Airport","Chicago","IL","USA",41.9796,-87.90446
"21","FLLLAX",3,0.212334810195599,"FLL","LAX","Fort Lauderdale-Hollywood International Airport","Ft. Lauderdale","FL","USA",26.07258,-80.15275,"Los Angeles International Airport","Los Angeles","CA","USA",33.94254,-118.40807
"22","ORDRDU",3,0.209553424638079,"ORD","RDU","Chicago O'Hare International Airport","Chicago","IL","USA",41.9796,-87.90446,"Raleigh-Durham International Airport","Raleigh","NC","USA",35.87764,-78.78747
"23","BOSORD",4,0.209551166139654,"BOS","ORD","Gen. Edward Lawrence Logan International Airport","Boston","MA","USA",42.36435,-71.00518,"Chicago O'Hare International Airport","Chicago","IL","USA",41.9796,-87.90446
"24","LASORD",4,0.208503175332252,"LAS","ORD","McCarran International Airport","Las Vegas","NV","USA",36.08036,-115.15233,"Chicago O'Hare International Airport","Chicago","IL","USA",41.9796,-87.90446
